Sr. No.,Shop Name,zone_clean,nlp_complaints,nlp_ct_feedback,nlp_suggestions,nlp_other_feedback,nlp_why_not_stocking,nlp_full_corpus
1,Nita Dept Store,C_Scheme,no complaints generally,never heard of it,smaller affordable sku,margin increase needed,no customer demand/enquiry,no complaints generally | never heard of it | smaller affordable sku | margin increase needed | no customer demand/enquiry
2,Giridhar Ice Cream Parlor,Amer_Periphery,"curd is too sour, not thick enough, water/whey separation in pouch",no,"consumer-facing offers/free trials, more advertising in jaipur",no_data,no customer demand/enquiry,"curd is too sour, not thick enough, water/whey separation in pouch | no | consumer-facing offers/free trials, more advertising in jaipur | no customer demand/enquiry"
3,Dj Paneer House,Vaishali_Mansarovar,"curd is too sour, not thick enough, water/whey separation in pouch, packaging leaks or breaks",too thin texture and no demand,"better margins, consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks",more promotions for retailers and avoid leakages and avoid sour taste and improve watery texture,"no customer demand/enquiry, other (specify)","curd is too sour, not thick enough, water/whey separation in pouch, packaging leaks or breaks | too thin texture and no demand | better margins, consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks | more promotions for retailers and avoid leakages and avoid sour taste and improve watery texture | no customer demand/enquiry, other (specify)"
4,Krishna Bakery,Vaishali_Mansarovar,curd is too sour,"customers like the cup format, good taste","consumer-facing offers/free trials, more advertising in jaipur",sometimes watery and sour curd,no_data,"curd is too sour | customers like the cup format, good taste | consumer-facing offers/free trials, more advertising in jaipur | sometimes watery and sour curd"
5,Govinda Farms Cakes And Bakes,Vaishali_Mansarovar,"curd is too sour, not thick enough, water/whey separation in pouch",too thin/watery compared to masti dahi,"better margins, consumer-facing offers/free trials",no_data,company rep hasn't offered it,"curd is too sour, not thick enough, water/whey separation in pouch | too thin/watery compared to masti dahi | better margins, consumer-facing offers/free trials | company rep hasn't offered it"
6,Ganapati Milk Point,Vaishali_Mansarovar,"not thick enough, water/whey separation in pouch","some like it, some don't, some prefer thin watery curd, some prefer thick","better margins, consumer-facing offers/free trials",no_data,no_data,"not thick enough, water/whey separation in pouch | some like it, some don't, some prefer thin watery curd, some prefer thick | better margins, consumer-facing offers/free trials"
7,Laziz Bakers,Malviya_Sanganer,"curd is too sour, not thick enough","no, don't stock it","fresher stock with longer remaining shelf life, other (specify)","older stock gets delivered to retailers, this needs to change.","company rep hasn't offered it, no demand from customers","curd is too sour, not thick enough | no, don't stock it | fresher stock with longer remaining shelf life, other (specify) | older stock gets delivered to retailers, this needs to change. | company rep hasn't offered it, no demand from customers"
8,Vijay Departmental Store,Malviya_Sanganer,"not thick enough, water/whey separation in pouch","texture is creamy, customers appreciate it","consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life","older stock sometimes delivered, some offers or discounts or gifts to retailers from amul would be nice",no_data,"not thick enough, water/whey separation in pouch | texture is creamy, customers appreciate it | consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life | older stock sometimes delivered, some offers or discounts or gifts to retailers from amul would be nice"
9,Shriram Departmental Store,Malviya_Sanganer,"curd is too sour, not thick enough, water/whey separation in pouch",very thin,"better margins, consumer-facing offers/free trials, more advertising in jaipur",retailer promotions and offers from amul needed,no customer demand/enquiry,"curd is too sour, not thick enough, water/whey separation in pouch | very thin | better margins, consumer-facing offers/free trials, more advertising in jaipur | retailer promotions and offers from amul needed | no customer demand/enquiry"
10,Dahiya General Store,Malviya_Sanganer,no complaints generally,no awareness among customers,"better margins, fresher stock with longer remaining shelf life",better margin and more availability and timely delivery of stock is needed,no customer demand/enquiry,"no complaints generally | no awareness among customers | better margins, fresher stock with longer remaining shelf life | better margin and more availability and timely delivery of stock is needed | no customer demand/enquiry"
11,Shiva General,Malviya_Sanganer,"not thick enough, short shelf life",nobody asks for this dahi,fresher stock with longer remaining shelf life,refrigeration or ice boxes from amul would nice if complimentary,"no customer demand/enquiry, company rep hasn't offered it, don't know the price/pack details","not thick enough, short shelf life | nobody asks for this dahi | fresher stock with longer remaining shelf life | refrigeration or ice boxes from amul would nice if complimentary | no customer demand/enquiry, company rep hasn't offered it, don't know the price/pack details"
12,Raj Parlor,Vaishali_Mansarovar,"curd is too sour, not thick enough, water/whey separation in pouch, short shelf life, packaging leaks or breaks, higher price than saras",watery and thin,"consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks, fresher stock with longer remaining shelf life, improve quality",freebies and promotions for retailers from amul would be welcome,"no customer demand/enquiry, new curd is too thin and watery, nobody takes it","curd is too sour, not thick enough, water/whey separation in pouch, short shelf life, packaging leaks or breaks, higher price than saras | watery and thin | consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks, fresher stock with longer remaining shelf life, improve quality | freebies and promotions for retailers from amul would be welcome | no customer demand/enquiry, new curd is too thin and watery, nobody takes it"
13,Sharma Tea Stall,Vaishali_Mansarovar,"short shelf life, packaging leaks or breaks",no awareness among customers,"better margins, consumer-facing offers/free trials, more advertising in jaipur",promotions and freebies for retailers from amul,"no customer demand/enquiry, saras is sufficient for my customers","short shelf life, packaging leaks or breaks | no awareness among customers | better margins, consumer-facing offers/free trials, more advertising in jaipur | promotions and freebies for retailers from amul | no customer demand/enquiry, saras is sufficient for my customers"
14,Nandini Sharma Store,Vaishali_Mansarovar,"curd is too sour, not thick enough, water/whey separation in pouch, short shelf life, packaging leaks or breaks",too thin/watery compared to masti dahi,"better margins, consumer-facing offers/free trials, more advertising in jaipur, smaller affordable sku, better packaging that prevents leaks",no_data,no customer demand/enquiry,"curd is too sour, not thick enough, water/whey separation in pouch, short shelf life, packaging leaks or breaks | too thin/watery compared to masti dahi | better margins, consumer-facing offers/free trials, more advertising in jaipur, smaller affordable sku, better packaging that prevents leaks | no customer demand/enquiry"
15,Mahaveer Dairy,Vaishali_Mansarovar,"curd is too sour, not thick enough, packaging leaks or breaks",not heard of it,"better margins, consumer-facing offers/free trials, better packaging that prevents leaks, fresher stock with longer remaining shelf life","very bad packaging of dahi, broken, torn, leakages, dirty crates, distributor doesn't respond to concerns",no customer demand/enquiry,"curd is too sour, not thick enough, packaging leaks or breaks | not heard of it | better margins, consumer-facing offers/free trials, better packaging that prevents leaks, fresher stock with longer remaining shelf life | very bad packaging of dahi, broken, torn, leakages, dirty crates, distributor doesn't respond to concerns | no customer demand/enquiry"
16,Laxmi Sales,Vaishali_Mansarovar,"not thick enough, water/whey separation in pouch, packaging leaks or breaks",never heard of it,"better margins, consumer-facing offers/free trials, better packaging that prevents leaks",promotions and freebies for retailers from amul would be nice,"no customer demand/enquiry, stocking ksheer","not thick enough, water/whey separation in pouch, packaging leaks or breaks | never heard of it | better margins, consumer-facing offers/free trials, better packaging that prevents leaks | promotions and freebies for retailers from amul would be nice | no customer demand/enquiry, stocking ksheer"
17,Kisan Store,Vaishali_Mansarovar,"water/whey separation in pouch, packaging leaks or breaks, higher price than saras, saras is cheaper",never heard of it,"better margins, consumer-facing offers/free trials, smaller affordable sku, better packaging that prevents leaks, fresher stock with longer remaining shelf life","retailer promotions are needed from amul, freebies and offers","no customer demand/enquiry, company rep hasn't offered it","water/whey separation in pouch, packaging leaks or breaks, higher price than saras, saras is cheaper | never heard of it | better margins, consumer-facing offers/free trials, smaller affordable sku, better packaging that prevents leaks, fresher stock with longer remaining shelf life | retailer promotions are needed from amul, freebies and offers | no customer demand/enquiry, company rep hasn't offered it"
18,Oarnami Supermarket,Vaishali_Mansarovar,"curd is too sour, water/whey separation in pouch, short shelf life, packaging leaks or breaks",too thin,"better margins, consumer-facing offers/free trials, better packaging that prevents leaks",retailer promotions needed,no customer demand/enquiry,"curd is too sour, water/whey separation in pouch, short shelf life, packaging leaks or breaks | too thin | better margins, consumer-facing offers/free trials, better packaging that prevents leaks | retailer promotions needed | no customer demand/enquiry"
19,Anjali Kirana,Vaishali_Mansarovar,"curd is too sour, not thick enough, water/whey separation in pouch",too thin and not tasty,"consumer-facing offers/free trials, better packaging that prevents leaks, fresher stock with longer remaining shelf life",no_data,no_data,"curd is too sour, not thick enough, water/whey separation in pouch | too thin and not tasty | consumer-facing offers/free trials, better packaging that prevents leaks, fresher stock with longer remaining shelf life"
20,Tanishka Milk Parlor,Vaishali_Mansarovar,no complaints generally,"customers like the cup format, good taste","consumer-facing offers/free trials, more advertising in jaipur, smaller affordable sku, better packaging that prevents leaks",cold chain support for retailer from amul is needed,no_data,"no complaints generally | customers like the cup format, good taste | consumer-facing offers/free trials, more advertising in jaipur, smaller affordable sku, better packaging that prevents leaks | cold chain support for retailer from amul is needed"
21,Satyam Departmental Store,Amer_Periphery,higher price than saras,pricier,"consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life",promotions and freebies for retailers is needed,no_data,"higher price than saras | pricier | consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life | promotions and freebies for retailers is needed"
22,Mahadev Bakery And Dairy,Amer_Periphery,higher price than saras,no awareness among customers,"consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life",freebies and promotions for retailers from amul,"no customer demand/enquiry, saras is sufficient for my customers","higher price than saras | no awareness among customers | consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life | freebies and promotions for retailers from amul | no customer demand/enquiry, saras is sufficient for my customers"
23,Ss Mart,Amer_Periphery,"curd is too sour, short shelf life, packaging leaks or breaks, higher price than saras",packaging problem and shorter shelf life,"better packaging that prevents leaks, fresher stock with longer remaining shelf life","issues with the distributor, doesn't keep stock when needed, amul needs to look into it.",no customer demand/enquiry,"curd is too sour, short shelf life, packaging leaks or breaks, higher price than saras | packaging problem and shorter shelf life | better packaging that prevents leaks, fresher stock with longer remaining shelf life | issues with the distributor, doesn't keep stock when needed, amul needs to look into it. | no customer demand/enquiry"
24,Eat N Treats,Amer_Periphery,"water/whey separation in pouch, short shelf life, higher price than saras",thin,"consumer-facing offers/free trials, better packaging that prevents leaks, fresher stock with longer remaining shelf life","supply side issues, no cold storage support, no branding support has been provided from amul and distributors side. this needs to change and improve. lack of information about new products, it's not communicated well to retailers.",no customer demand/enquiry,"water/whey separation in pouch, short shelf life, higher price than saras | thin | consumer-facing offers/free trials, better packaging that prevents leaks, fresher stock with longer remaining shelf life | supply side issues, no cold storage support, no branding support has been provided from amul and distributors side. this needs to change and improve. lack of information about new products, it's not communicated well to retailers. | no customer demand/enquiry"
25,Roshan Fresh,Amer_Periphery,"short shelf life, packaging leaks or breaks, higher price than saras",thin and watery,"better margins, consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life","retailer promotions, gifts, discounts from amul would be nice",no customer demand/enquiry,"short shelf life, packaging leaks or breaks, higher price than saras | thin and watery | better margins, consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life | retailer promotions, gifts, discounts from amul would be nice | no customer demand/enquiry"
26,Guru Kripa Laksh General Store,Amer_Periphery,"not thick enough, short shelf life, packaging leaks or breaks",no awareness among customers,"consumer-facing offers/free trials, smaller affordable sku, better packaging that prevents leaks",retail promotions needed,"no customer demand/enquiry, company rep hasn't offered it","not thick enough, short shelf life, packaging leaks or breaks | no awareness among customers | consumer-facing offers/free trials, smaller affordable sku, better packaging that prevents leaks | retail promotions needed | no customer demand/enquiry, company rep hasn't offered it"
27,Ss Kirana,Amer_Periphery,"curd is too sour, water/whey separation in pouch, packaging leaks or breaks","texture is creamy, customers appreciate it","consumer-facing offers/free trials, smaller affordable sku, better packaging that prevents leaks, fresher stock with longer remaining shelf life",dahi during summers is extremely thin and watery sometimes. quality issues like this needs to be taken care of.,no_data,"curd is too sour, water/whey separation in pouch, packaging leaks or breaks | texture is creamy, customers appreciate it | consumer-facing offers/free trials, smaller affordable sku, better packaging that prevents leaks, fresher stock with longer remaining shelf life | dahi during summers is extremely thin and watery sometimes. quality issues like this needs to be taken care of."
28,Dadu Dayal Bakery,Amer_Periphery,water/whey separation in pouch,watery dahi during summer,"consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks, fresher stock with longer remaining shelf life",it's all good,no_data,"water/whey separation in pouch | watery dahi during summer | consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks, fresher stock with longer remaining shelf life | it's all good"
29,Goyal Dept Store,Amer_Periphery,"curd is too sour, packaging leaks or breaks",packaging and quality issues,"consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks, fresher stock with longer remaining shelf life",promotions and offers needed,company rep hasn't offered it,"curd is too sour, packaging leaks or breaks | packaging and quality issues | consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks, fresher stock with longer remaining shelf life | promotions and offers needed | company rep hasn't offered it"
30,Ashapura Kirana Store,Amer_Periphery,"not thick enough, water/whey separation in pouch",too thin/watery compared to masti dahi,"consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks",no_data,no customer demand/enquiry,"not thick enough, water/whey separation in pouch | too thin/watery compared to masti dahi | consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks | no customer demand/enquiry"
